file_name,province,year,num_all,num_c1,num_c2,num_c3,num_c4,num_c5,TV_S,TV_D,TV_O,A_S,temperature,rain,death
tehran-1402,Tehran,1402,1089559473,1013454505,39087728,13816009,7664845,15536386,87958286,314517680,601415,78.08966712,18.3,92.7,534
tehran-1403,Tehran,1403,1203731453,1114941997,48300517,15421768,8045649,17021522,111881352,350671384,683254,79.66651969,18.1,90,381
yazd-1395,Yazd,1395,74536516,44955303,8644059,6135428,3120665,11681061,10781030,6540770,665895,78.920393,19.2,46.6,128
yazd-1396,Yazd,1396,93626618,63030347,6403364,6366874,5375112,12450921,13419025,9590157,958587,81.57192177,19.3,26.8,171
yazd-1397,Yazd,1397,98241553,67413143,7031873,5318813,6112951,12364773,14956439,10262471,1032257,80.58899794,19.7,31.9,141
yazd-1398,Yazd,1398,68520661,47889192,5841983,3165411,2312318,9311757,11023355,3885433,1116360,78.55466144,20.4,59.9,171
yazd-1399,Yazd,1399,73927887,50243224,4983382,4884631,2409558,11407092,8959243,1581776,1554681,75.85031636,20.9,27.4,170
yazd-1400,Yazd,1400,108042234,73900689,9316593,5527537,2498139,16799276,9266734,6236514,2502060,76.48990691,19.9,41.8,151
yazd-1401,Yazd,1401,139598713,98843852,10700958,6766054,2916354,20371495,11978556,7193262,1890679,76.21638265,19.8,51,208
yazd-1403,Yazd,1403,168752876,117164355,10665231,9474218,5260630,26188442,17697510,2539291,2423661,74.88722737,22.1,64.6,209
zanjan-1395,Zanjan,1395,96505198,74423893,5061896,6581403,1837709,8600297,8449348,10240496,1213905,74.7653863,10.9,291.5,198
zanjan-1396,Zanjan,1396,123006215,93271467,5996526,8732237,2961530,12044455,5786249,13247430,909395,75.21285689,11,264.7,164
zanjan-1397,Zanjan,1397,152982657,119616270,6667539,9942373,3240376,13516099,5487919,17271071,1038985,70.75617905,11.2,230.5,230
zanjan-1398,Zanjan,1398,154738882,121919373,6571103,9980116,3047569,13220721,4896888,16449019,999239,71.25663717,12,248.8,235
zanjan-1399,Zanjan,1399,128500726,98150464,7338276,8624260,2712961,11674765,4718794,10251425,1730916,70.79813224,11.4,212,192
zanjan-1400,Zanjan,1400,138423964,106272749,11152185,6792579,2808466,11397985,14130850,13103003,1075922,73.11382598,12.7,249.4,221
zanjan-1401,Zanjan,1401,184913937,148032371,12028390,8744081,2062955,14046140,25354384,24212880,215323,74.86715225,12.5,165.5,273
zanjan-1403,Zanjan,1403,197485847,161773783,10283989,7176212,2069091,16182772,27063614,31938976,291201,71.73238642,13.3,187.3,196
